62,257,2
200,222,5
308,1,4
301,98,4
251,100,4
25,181,5
20,288,1
225,237,5
32,294,3
160,174,5
168,151,5
44,195,5
72,195,5
84,405,3
259,117,4
90,98,5
68,117,4
305,117,2
44,294,4
99,79,4
13,98,4
26,258,3
213,172,5
15,405,2
292,174,5
194,181,3
269,127,4
303,69,5
92,172,4
250,7,4
14,98,3
119,237,5
66,258,4
301,56,4
275,98,4
119,222,5
301,79,5
145,237,5
128,204,4
13,56,5
286,237,2
222,151,3
207,258,4
191,286,4
134,286,3
104,117,2
275,405,2
213,173,5
239,56,4
287,1,5
286,288,5
187,210,4
290,50,5
264,294,3
92,168,4
307,174,4
21,222,2
231,181,4
56,121,5
10,7,4
6,98,5
298,181,4
10,100,5
245,181,4
189,56,5
97,222,5
109,127,2
256,127,4
222,173,5
181,121,4
274,405,4
276,181,5
267,121,3
126,294,3
37,288,4
77,172,3
90,258,3
224,69,4
194,172,3
108,100,4
14,269,4
92,121,5
181,405,4
254,121,3
276,294,4
79,50,4
25,222,4
270,98,5
68,237,5
6,258,2
150,181,5
82,56,3
226,56,4
145,56,5
313,117,4
148,1,4
280,1,4
1,117,3
198,258,4
6,69,3
230,172,4
311,98,5
56,222,5
210,204,5
84,121,4
244,172,4
13,181,5
2,50,5
57,79,5
284,269,4
250,204,2
8,50,5
175,127,5
83,210,5
153,174,1
279,168,5
63,100,5
42,98,4
274,50,5
184,98,4
296,222,5
285,269,4
75,237,2
214,117,4
277,257,3
25,257,4
66,181,5
262,174,3
44,258,4
248,117,5
23,258,5
308,174,4
188,237,3
234,98,4
312,100,4
161,168,1
190,117,4
94,174,4
117,181,5
58,173,5
248,257,3
141,258,5
1,222,4
14,174,5
87,210,5
66,1,3
216,174,5
5,1,4
305,79,3
109,1,4
15,222,3
227,50,4
181,1,3
177,69,1
271,56,3
104,300,3
13,195,3
121,117,1
13,121,5
62,288,2
280,127,5
37,117,4
22,258,5
5,98,3
295,172,4
65,100,3
285,151,5
95,1,5
182,69,5
109,258,5
282,288,4
252,300,4
304,237,5
28,79,4
161,98,4
70,210,4
43,204,4
197,300,4
66,7,3
101,222,3
316,98,5
287,294,5
165,288,2
195,300,3
99,50,5
16,56,5
291,7,5
56,172,5
32,151,3
198,7,4
73,56,4
104,7,3
275,69,3
262,121,3
79,100,5
305,50,5
201,69,2
117,151,4
25,258,5
95,172,4
42,195,5
293,79,3
101,405,4
279,79,3
217,7,4
176,258,4
49,7,4
263,117,3
58,100,5
160,56,5
103,127,4
268,1,3
23,172,4
7,151,4
94,168,5
199,258,4
294,127,5
103,121,3
160,117,4
137,300,5
164,117,5
213,294,3
203,181,5
198,100,1
