2,121,4.153783
2,405,3.7484145
11,210,4.5062
12,121,3.1036358
20,257,3.0569499
21,257,4.210594
33,151,4.4943
34,172,4.5823913
34,121,4.241497
34,195,4.1478467
34,257,4.0703244
35,121,3.156968
39,121,4.5704145
46,195,4.6171975
50,151,3.8784728
72,257,2.8622336
76,257,4.7765794
76,117,4.369154
79,405,2.5959966
80,405,3.5022576
84,172,4.690962
86,168,4.2905226
86,405,3.7816806
93,117,4.8757997
96,210,4.1975007
98,405,3.7717779
110,168,3.7919102
123,222,4.071439
127,151,3.1339295
128,195,4.4367943
135,257,2.6243908
144,168,4.49923
147,117,4.37147
147,405,3.530199
147,121,2.148704
149,151,4.595618
152,222,3.2993667
154,195,4.7655277
154,151,3.0770204
157,172,4.3891788
158,405,3.0
159,151,3.1106188
165,117,4.384883
165,257,2.7236102
168,168,4.4907737
173,257,4.872698
173,405,3.7559962
187,121,4.368212
188,168,4.69911
189,257,3.8575127
195,121,3.750584
201,151,2.9090014
202,210,4.3749647
202,79,4.0059958
205,121,4.157886
206,121,4.6091995
211,121,4.6446514
224,117,4.1235785
226,257,3.3905559
233,222,4.0657563
235,222,4.0592456
240,7,4.155204
241,405,2.4798112
258,151,4.046275
258,405,3.605781
258,121,2.6346865
266,210,4.477069
278,7,4.224392
289,79,4.030782
291,257,4.6151185
296,405,3.5008903
302,121,2.4342477
304,151,4.104119
309,151,4.3608413
310,151,4.117021
314,222,2.8608377
315,117,3.5440497
329,222,4.0
329,121,3.7546563
331,172,4.5726004
335,117,4.25644
335,1,3.784671
335,151,3.1927779
339,405,3.846644
350,405,3.0
355,257,4.0
357,210,4.530103
366,121,2.8677797
371,168,4.3992276
372,168,3.950705
378,168,4.1139402
390,117,4.533118
395,117,3.9940543
395,405,3.9859052
403,172,4.5559387
404,257,3.8136377
410,151,4.236022
410,121,3.3185537
414,405,3.0
415,405,3.0413978
420,195,3.3427424
426,405,3.7542827
433,257,3.5854273
433,405,3.0
440,210,4.850417
452,257,2.8545427
460,79,4.504158
467,121,4.326753
473,121,3.3107493
475,117,4.201403
478,405,3.788961
485,237,4.0
487,168,4.350108
488,151,3.953958
502,222,4.5894046
502,1,3.1847613
508,257,4.1107097
509,210,4.0534306
512,195,4.9302673
522,117,3.8897338
526,257,4.3353963
527,257,4.013482
544,151,2.9492133
547,210,4.0158815
547,405,3.0
553,222,4.360231
553,121,3.7313368
555,79,4.436177
557,117,4.463357
567,151,2.8527296
570,405,4.279731
578,210,4.2936635
582,210,4.1864543
586,168,4.446442
586,151,3.9023216
590,121,2.1391492
595,117,3.4818091
596,257,3.5795581
607,195,4.985308
607,168,4.364854
610,257,3.3115888
612,168,3.7522085
615,79,4.030265
617,222,4.161419
617,405,3.3594322
618,405,3.4296677
626,121,3.7014751
633,257,3.1185994
636,195,4.7950025
645,151,3.7778478
646,121,4.1574492
649,405,3.4912148
651,121,4.2793036
657,181,4.459376
668,151,4.3827796
673,151,4.3643413
675,195,4.7738132
675,151,4.512115
681,195,4.1406903
687,210,3.8364072
697,405,3.6956203
704,121,4.0
704,405,3.9422164
710,121,4.493346
710,405,4.32413
715,210,4.232453
718,237,3.4941719
725,195,4.604946
728,257,3.4648561
742,168,3.9934263
747,151,4.1721783
747,405,3.0
750,151,4.4544168
752,405,3.5541139
753,405,3.4352837
760,405,4.1096716
760,168,4.0877004
761,172,4.0455627
762,210,4.7777085
763,405,3.588711
767,405,4.3385396
777,405,4.0299745
787,405,4.1016045
789,168,3.4402835
802,257,3.7876668
802,168,3.5224483
808,121,2.192743
811,195,3.961526
819,117,4.423151
819,121,3.18114
820,237,3.4534757
824,210,4.4296613
828,405,3.0
829,405,3.0
841,172,4.8781
841,257,4.0878634
841,195,4.028374
846,257,3.5309327
858,151,3.928203
859,210,4.515741
861,151,4.2892036
861,257,3.7547882
861,405,3.4057202
871,117,4.1481047
876,195,4.399114
876,257,2.753679
884,121,4.1972356
888,405,3.6008794
890,79,3.6605508
890,257,3.4919455
898,405,3.558662
902,210,3.8857644
905,79,3.9664595
905,257,3.612591
908,405,3.053068
909,405,3.0
915,405,4.2501965
924,257,3.3990803
925,222,2.5774417
935,172,4.548461
936,151,3.6071987
937,405,1.4973087
